<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120206,5901.10,5901.10,5863.50,5892.20,828464600
20120207,5892.20,5906.60,5850.50,5890.30,785340600
20120208,5890.30,5916.20,5871.30,5875.90,809267800
20120209,5875.90,5916.30,5870.50,5895.50,973462200
20120210,5895.50,5895.50,5839.90,5852.40,948790200
20120213,5852.40,5920.10,5852.40,5905.70,643543000
20120214,5905.70,5920.60,5877.20,5899.90,832567200
20120215,5899.90,5923.80,5880.60,5892.20,801550000
20120216,5892.20,5892.40,5829.40,5885.40,751580400
20120217,5885.40,5923.60,5885.40,5905.10,1101910900
20120220,5905.10,5956.30,5905.10,5945.30,724579800
20120221,5945.30,5948.80,5916.60,5928.20,846269200
20120222,5928.20,5938.00,5894.60,5916.50,875208000
20120223,5916.50,5952.50,5900.50,5937.90,1071356800
20120224,5937.90,5964.00,5925.50,5935.10,1011161700
20120227,5935.10,5935.10,5865.90,5915.50,972274400
20120228,5915.50,5937.00,5900.00,5927.90,804670200
20120229,5927.90,5944.80,5871.50,5871.50,1201160900
20120301,5871.50,5936.10,5858.90,5931.30,900749800
20120302,5931.30,5940.00,5908.50,5911.10,758193600
20120305,5911.10,5911.10,5865.40,5874.80,873447200
20120306,5874.80,5874.80,5758.40,5765.80,994358800
20120307,5765.80,5801.10,5755.70,5791.40,859928000
20120308,5791.40,5874.30,5791.40,5859.70,828107600
20120309,5859.70,5897.60,5842.90,5887.50,854778800
20120312,5887.50,5894.10,5860.40,5892.80,800992000
20120313,5892.80,5957.90,5892.80,5955.90,761933800
20120314,5955.90,5989.10,5945.40,5945.40,1165017900
20120315,5945.40,5958.20,5919.20,5940.70,1039944300
20120316,5940.70,5974.00,5940.70,5965.60,1834534000
20120319,5965.60,5968.90,5928.50,5961.10,951265200
20120320,5961.10,5961.10,5876.40,5891.40,978545200
20120321,5891.40,5921.70,5880.80,5892.00,907211200
20120322,5892.00,5892.00,5825.90,5845.60,883155600
20120323,5845.60,5875.70,5801.70,5854.90,848516800
20120326,5854.90,5913.10,5854.50,5902.70,722858600
20120327,5902.70,5941.90,5863.80,5869.50,1257297300
20120328,5869.50,5877.90,5809.00,5809.00,931820200
20120329,5809.00,5812.20,5726.50,5742.00,1084172000
20120330,5742.00,5782.70,5742.00,5768.50,990970000
20120402,5768.50,5874.90,5748.60,5874.90,886248600
20120403,5874.90,5890.20,5838.30,5838.30,896434000
20120404,5838.30,5838.30,5685.60,5703.80,1174203000
20120405,5703.80,5731.70,5663.30,5723.70,908902000
20120410,5723.70,5723.70,5595.50,5595.50,1012487000
20120411,5595.50,5655.90,5576.40,5634.70,1132327600
20120412,5634.70,5727.90,5602.60,5710.50,1115209900
20120413,5710.50,5710.80,5643.50,5651.80,830223000
20120416,5651.80,5708.00,5641.10,5666.30,1102065700
20120417,5666.30,5773.70,5651.50,5767.00,856433000
20120418,5767.00,5783.90,5730.90,5745.30,875744800
20120419,5745.30,5792.10,5738.10,5744.50,960873200
20120420,5744.50,5775.70,5724.20,5772.10,847833800
20120423,5772.10,5772.10,5637.70,5665.60,777185400
20120424,5665.60,5714.20,5658.50,5709.50,809912400
20120425,5709.50,5745.00,5703.20,5718.90,859133200
20120426,5718.90,5761.10,5691.70,5748.70,879956000
20120427,5748.70,5789.00,5708.00,5777.10,812249600
20120430,5777.10,5793.00,5728.90,5737.80,784967000
20120501,5737.80,5819.00,5732.20,5812.20,675997000
20120502,5812.20,5819.90,5736.70,5758.10,962324800
20120503,5758.10,5800.80,5745.20,5766.50,788889000
20120504,5766.50,5766.50,5639.80,5655.10,1013188000
20120508,5655.10,5668.10,5550.10,5554.50,1053451900
20120509,5554.50,5571.70,5464.40,5530.00,1006217900
20120510,5530.00,5566.10,5490.50,5544.00,847647600
20120511,5544.00,5585.50,5499.30,5575.50,772657000
20120514,5575.50,5575.60,5436.70,5465.50,884474600
20120515,5465.50,5507.60,5411.80,5437.60,876368200
20120516,5437.60,5448.40,5354.00,5405.30,1026459400
20120517,5405.30,5413.30,5309.80,5338.40,899521400
20120518,5338.40,5338.40,5256.60,5267.60,1225450700
20120521,5267.60,5324.40,5253.90,5304.50,915124000
20120522,5304.50,5408.60,5304.50,5403.30,932305600
20120523,5403.30,5403.70,5262.90,5266.40,998286000
20120524,5266.40,5371.80,5266.40,5350.00,737322400
20120525,5350.00,5385.20,5312.20,5351.50,734402000
20120528,5351.50,5413.80,5341.30,5356.30,510686600
20120529,5356.30,5404.70,5342.50,5391.10,729588000
20120530,5391.10,5391.10,5284.40,5297.30,863652400
20120531,5297.30,5352.00,5272.70,5320.90,1416308300
20120601,5320.90,5354.50,5229.80,5260.20,1056087700
20120606,5260.20,5388.00,5260.20,5384.10,1100447600
20120607,5384.10,5494.50,5384.10,5447.80,1075725100
20120608,5447.80,5447.80,5381.80,5435.10,916902400
20120611,5435.10,5536.30,5419.60,5432.40,991562200
20120612,5432.40,5478.60,5414.60,5473.70,922349000
20120613,5473.70,5507.60,5436.70,5483.80,862162600
20120614,5483.80,5483.80,5424.40,5467.00,985630600
20120615,5467.00,5522.90,5465.10,5478.80,2310999200
20120618,5478.80,5555.30,5461.10,5491.10,879532400
20120619,5491.10,5603.10,5491.00,5586.30,816800600
20120620,5586.30,5623.90,5566.00,5622.30,903447000
20120621,5622.30,5622.30,5564.80,5566.40,787794200
20120622,5566.40,5566.40,5500.00,5513.70,677911200
20120625,5513.70,5513.70,5435.50,5450.60,716161000
20120626,5450.60,5476.50,5436.30,5447.00,631700600
20120627,5447.00,5525.10,5447.00,5523.90,678570400
20120628,5523.90,5533.80,5436.50,5493.10,1027922500
20120629,5493.10,5619.60,5493.10,5571.10,1061820000
20120702,5571.10,5640.60,5571.10,5640.60,699028000
20120703,5640.60,5689.00,5636.00,5687.70,795293400
20120704,5687.70,5699.90,5669.70,5684.50,445463400
20120705,5684.50,5727.50,5662.50,5692.60,767451400
20120706,5692.60,5695.10,5647.50,5662.60,602832000
20120709,5662.60,5669.80,5610.70,5627.30,686238000
20120710,5627.30,5688.70,5622.30,5664.10,607970000
20120711,5664.10,5674.60,5625.60,5664.50,606669000
20120712,5664.50,5664.50,5588.80,5608.30,667432600
20120713,5608.30,5675.60,5608.30,5666.10,609268400
20120716,5666.10,5670.60,5640.90,5662.40,569737800
20120717,5662.40,5676.50,5621.20,5629.10,602763000
20120718,5629.10,5688.30,5624.50,5685.80,672662400
20120719,5685.80,5718.60,5685.80,5714.20,711475200
20120720,5714.20,5714.20,5644.90,5651.80,961834400
20120723,5643.71,5643.71,5510.99,5528.31,0
20120724,5533.90,5556.60,5487.00,5499.20,551196800
20120725,5499.20,5526.10,5478.00,5498.30,621394800
20120726,5498.30,5594.50,5478.00,5573.20,817687600
20120727,5573.51,5630.94,5550.98,5625.33,0
20120730,5627.20,5706.50,5625.70,5693.60,649432800
20120731,5693.60,5695.50,5635.30,5635.30,645790800
20120801,5635.30,5712.80,5633.00,5712.80,554180400
20120802,5712.80,5765.80,5657.30,5662.30,805200600
20120803,5662.30,5794.00,5662.30,5787.30,748571600
20120806,5787.30,5837.60,5767.10,5808.80,613098000
20120807,5808.80,5841.20,5785.00,5841.20,779689000
20120808,5841.20,5845.90,5801.10,5845.90,588922600
20120809,5845.90,5860.20,5828.40,5851.50,741075800
20120810,5851.50,5858.60,5827.70,5847.10,466836800
20120813,5847.10,5852.80,5813.60,5831.90,410854200
20120814,5831.90,5876.20,5831.90,5864.80,628112400
20120815,5864.80,5864.80,5822.30,5833.00,560382800
20120816,5833.00,5846.70,5811.30,5834.50,587478200
20120817,5834.50,5854.70,5834.40,5852.40,732426200
20120820,5852.40,5857.50,5802.90,5824.40,693438400
20120821,5824.40,5872.60,5824.40,5857.50,502599000
20120822,5857.50,5857.50,5771.20,5774.20,535193000
20120823,5774.20,5809.30,5764.00,5776.60,637456200
20120824,5776.60,5791.40,5739.40,5776.60,487763800
20120828,5776.60,5779.50,5749.80,5775.70,524670600
20120829,5775.70,5775.80,5739.20,5743.50,524475400
20120830,5743.50,5743.50,5705.60,5719.50,479197000
20120831,5719.50,5763.80,5708.00,5711.50,851664800
20120903,5711.50,5758.40,5701.10,5758.40,394561400
20120904,5758.40,5758.40,5658.30,5672.00,630889200
20120905,5672.00,5675.90,5634.90,5657.90,740072800
20120906,5657.90,5786.00,5657.90,5777.30,1103242800
20120907,5777.30,5807.60,5772.90,5794.80,1271438300
20120910,5794.80,5806.80,5777.10,5793.20,672891000
20120911,5793.20,5796.60,5764.20,5792.20,784354200
20120912,5792.20,5821.20,5757.60,5782.10,1101683800
20120913,5782.10,5826.60,5770.30,5819.90,819778000
20120914,5819.90,5932.60,5819.90,5915.50,1506216600
20120917,5915.50,5915.70,5883.20,5893.50,691683800
20120918,5893.50,5893.50,5837.50,5868.20,804235800
20120919,5868.20,5894.40,5861.00,5888.50,704137600
20120920,5888.50,5888.50,5824.40,5854.60,656511200
20120921,5854.60,5887.60,5838.90,5852.60,1205429400
20120924,5852.60,5852.60,5806.10,5838.80,736974000
20120925,5838.80,5869.20,5828.30,5859.70,737480800
20120926,5859.70,5859.70,5751.40,5768.10,685845800
20120927,5768.10,5804.10,5763.00,5779.40,550622000
20120928,5779.40,5807.80,5740.50,5742.10,745469400
20121001,5742.10,5843.50,5738.60,5820.50,690293800
20121002,5820.50,5840.40,5781.40,5809.50,704898600
20121003,5809.50,5832.50,5785.00,5825.80,606196800
20121004,5825.80,5854.20,5803.20,5827.80,818041800
20121005,5827.80,5885.60,5827.60,5871.00,883077400
20121008,5871.00,5871.00,5818.80,5841.70,492224000
20121009,5841.70,5856.40,5795.20,5810.30,574468400
20121010,5810.30,5810.50,5776.70,5776.70,681615400
20121011,5776.70,5846.30,5766.70,5829.80,694156400
20121012,5829.80,5829.80,5793.30,5793.30,888088200
20121015,5793.30,5827.90,5786.00,5805.60,695723200
20121016,5805.60,5878.10,5805.60,5870.50,877624400
20121017,5870.50,5915.60,5868.70,5910.90,905140000
